index,slack,datapath_delay,logic_levels,startpoint,endpoint
4533,-0.218,2.199,5,bf_cycle_reg[0]/C,signal_reg_reg[123][5]/D
4534,-0.218,2.199,5,bf_cycle_reg[2]/C,signal_reg_reg[46][6]/D
4535,-0.218,2.198,6,bf_cycle_reg[2]/C,signal_reg_reg[120][10]/D
4536,-0.217,2.200,7,operand_x_reg_reg[40][3]/C,lane_product_reg_reg[40][3]/D
4537,-0.217,2.197,7,operand_coeff_reg_reg[36][4]/C,lane_product_reg_reg[36][6]/D
4538,-0.217,2.198,7,operand_coeff_reg_reg[40][1]/C,lane_product_reg_reg[40][2]/D
4539,-0.217,2.197,7,operand_x_reg_reg[28][0]/C,lane_product_reg_reg[28][2]/D
4540,-0.217,2.197,5,bf_cycle_reg[0]/C,signal_reg_reg[4][7]/D
4541,-0.216,2.197,7,operand_coeff_reg_reg[74][0]/C,lane_product_reg_reg[74][0]/D
4542,-0.216,2.196,4,bf_cycle_reg[5]/C,signal_reg_reg[51][7]/D
4543,-0.216,2.196,6,bf_cycle_reg[5]/C,signal_reg_reg[25][18]/D
4544,-0.216,2.195,4,bf_cycle_reg[5]/C,signal_reg_reg[20][6]/D
4545,-0.215,2.198,7,operand_x_reg_reg[36][0]/C,lane_product_reg_reg[68][1]/D
4546,-0.215,2.195,7,operand_coeff_reg_reg[83][0]/C,lane_product_reg_reg[83][1]/D
4547,-0.215,2.195,7,operand_coeff_reg_reg[32][3]/C,lane_product_reg_reg[32][3]/D
4548,-0.215,2.196,5,bf_cycle_reg[1]/C,signal_reg_reg[5][18]/D
4549,-0.215,2.194,5,bf_cycle_reg[2]/C,signal_reg_reg[34][4]/D
4550,-0.215,2.194,5,bf_cycle_reg[2]/C,signal_reg_reg[58][4]/D
4551,-0.214,2.194,4,bf_cycle_reg[5]/C,signal_reg_reg[51][5]/D
4552,-0.214,2.193,4,bf_cycle_reg[5]/C,signal_reg_reg[39][7]/D
4553,-0.214,2.194,5,bf_cycle_reg[2]/C,signal_reg_reg[59][8]/D
4554,-0.214,2.193,5,bf_cycle_reg[3]/C,signal_reg_reg[57][15]/D
4555,-0.214,2.193,6,bf_cycle_reg[3]/C,signal_reg_reg[57][17]/D
4556,-0.213,2.194,4,bf_cycle_reg[2]/C,signal_reg_reg[47][7]/D
4557,-0.213,2.195,7,operand_x_reg_reg[37][1]/C,lane_product_reg_reg[69][2]/D
4558,-0.213,2.194,7,operand_coeff_reg_reg[16][0]/C,lane_product_reg_reg[16][1]/D
4559,-0.213,2.194,7,operand_coeff_reg_reg[77][1]/C,lane_product_reg_reg[77][0]/D
4560,-0.213,2.193,7,operand_coeff_reg_reg[98][0]/C,lane_product_reg_reg[98][0]/D
4561,-0.213,2.194,5,bf_cycle_reg[2]/C,signal_reg_reg[70][6]/D
4562,-0.213,2.192,5,bf_cycle_reg[3]/C,signal_reg_reg[57][13]/D
4563,-0.212,2.192,7,operand_coeff_reg_reg[17][0]/C,lane_product_reg_reg[17][0]/D
4564,-0.212,2.195,7,operand_x_reg_reg[109][0]/C,lane_product_reg_reg[109][0]/D
4565,-0.212,2.193,5,bf_cycle_reg[2]/C,signal_reg_reg[117][6]/D
4566,-0.212,2.193,5,bf_cycle_reg[2]/C,signal_reg_reg[86][6]/D
4567,-0.212,2.193,5,bf_cycle_reg[0]/C,signal_reg_reg[115][7]/D
4568,-0.212,2.192,4,bf_cycle_reg[5]/C,signal_reg_reg[12][6]/D
4569,-0.212,2.191,4,bf_cycle_reg[5]/C,signal_reg_reg[39][5]/D
4570,-0.211,2.191,4,red_s1_data_reg[6][1]/C,dot_value_bank_reg[1][9][13]/D
4571,-0.211,2.194,7,operand_coeff_reg_reg[1][4]/C,lane_product_reg_reg[55][15]/D
4572,-0.211,2.191,6,bf_cycle_reg[2]/C,signal_reg_reg[81][13]/D
4573,-0.211,2.191,7,operand_coeff_reg_reg[10][0]/C,lane_product_reg_reg[10][1]/D
4574,-0.211,2.192,7,operand_coeff_reg_reg[35][3]/C,lane_product_reg_reg[35][10]/D
4575,-0.211,2.192,7,operand_x_reg_reg[28][0]/C,lane_product_reg_reg[28][3]/D
4576,-0.211,2.191,3,bf_cycle_reg[2]/C,signal_reg_reg[66][7]/D
4577,-0.211,2.191,5,bf_cycle_reg[5]/C,signal_reg_reg[25][14]/D
4578,-0.211,2.192,4,bf_cycle_reg[5]/C,signal_reg_reg[64][6]/D
4579,-0.211,2.191,6,bf_cycle_reg[1]/C,signal_reg_reg[98][4]/D
4580,-0.211,2.191,7,bf_cycle_reg[1]/C,signal_reg_reg[102][18]/D
4581,-0.211,2.190,4,bf_cycle_reg[2]/C,signal_reg_reg[59][4]/D
4582,-0.210,2.191,7,operand_coeff_reg_reg[91][7]/C,lane_product_reg_reg[91][9]/D
4583,-0.210,2.191,7,operand_coeff_reg_reg[35][3]/C,lane_product_reg_reg[35][14]/D
4584,-0.210,2.107,1,capture_pending_reg/C,final10_mem_reg[0][57][2]/CE
4585,-0.210,2.107,1,capture_pending_reg/C,final10_mem_reg[0][57][3]/CE
4586,-0.210,2.107,1,capture_pending_reg/C,final10_mem_reg[0][57][4]/CE
4587,-0.210,2.107,1,capture_pending_reg/C,final10_mem_reg[0][57][5]/CE
