index,slack,delay,logic_levels,startpoint,endpoint
3014,-0.175,2.157,4,red_s0_data_reg[11][3]/C,red_s1_data_reg[3][14]/D
3015,-0.174,2.154,7,operand_x_reg_reg[12][5]/C,lane_product_reg_reg[12][6]/D
3016,-0.174,2.155,7,operand_coeff_reg_reg[63][0]/C,lane_product_reg_reg[63][0]/D
3017,-0.173,2.154,7,operand_x_reg_reg[12][1]/C,lane_product_reg_reg[12][1]/D
3018,-0.171,2.152,7,operand_coeff_reg_reg[20][1]/C,lane_product_reg_reg[20][2]/D
3019,-0.171,2.067,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__20/CE
3020,-0.169,2.150,7,operand_coeff_reg_reg[26][0]/C,lane_product_reg_reg[26][0]/D
3021,-0.169,2.150,7,operand_coeff_reg_reg[61][0]/C,lane_product_reg_reg[61][2]/D
3022,-0.168,2.148,7,operand_coeff_reg_reg[107][0]/C,lane_product_reg_reg[107][2]/D
3023,-0.167,2.148,7,operand_coeff_reg_reg[112][1]/C,lane_product_reg_reg[112][1]/D
3024,-0.167,2.147,7,operand_x_reg_reg[33][1]/C,lane_product_reg_reg[65][1]/D
3025,-0.166,2.147,7,operand_x_reg_reg[95][0]/C,lane_product_reg_reg[127][0]/D
3026,-0.166,2.062,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__21/CE
3027,-0.165,2.146,7,operand_coeff_reg_reg[4][0]/C,lane_product_reg_reg[4][1]/D
3028,-0.165,2.148,7,operand_coeff_reg_reg[8][5]/C,lane_product_reg_reg[7][2]/D
3029,-0.165,2.146,7,operand_coeff_reg_reg[57][1]/C,lane_product_reg_reg[57][0]/D
3030,-0.165,2.060,1,capture_pending_reg/C,final10_mem_reg[3][59][1]/CE
3031,-0.165,2.060,1,capture_pending_reg/C,final10_mem_reg[3][63][2]/CE
3032,-0.164,2.146,1,r4a_issue_cycle_reg[0][2]_rep__2/C,sched_coeff_reg_reg[42][4]/D
3033,-0.164,2.147,7,operand_x_reg_reg[16][7]/C,lane_product_reg_reg[16][7]/D
3034,-0.164,2.143,7,operand_x_reg_reg[33][1]/C,lane_product_reg_reg[65][2]/D
3035,-0.163,2.145,7,operand_coeff_reg_reg[74][2]/C,lane_product_reg_reg[54][3]/D
3036,-0.163,2.057,1,capture_pending_reg/C,final10_mem_reg[3][8][5]/CE
3037,-0.162,2.142,3,red_s0_data_reg[4][0]/C,dot_value_bank_reg[1][6][6]/D
3038,-0.161,2.141,7,operand_x_reg_reg[30][0]/C,lane_product_reg_reg[62][0]/D
3039,-0.161,2.144,7,operand_coeff_reg_reg[48][6]/C,lane_product_reg_reg[82][0]/D
3040,-0.161,2.142,7,operand_coeff_reg_reg[25][1]/C,lane_product_reg_reg[25][8]/D
3041,-0.161,2.143,1,r4a_issue_cycle_reg[0][2]_rep__2/C,sched_coeff_reg_reg[62][0]/D
3042,-0.161,2.055,1,capture_pending_reg/C,final10_mem_reg[3][12][2]/CE
3043,-0.161,2.055,1,capture_pending_reg/C,final10_mem_reg[3][8][2]/CE
3044,-0.160,2.141,7,operand_coeff_reg_reg[97][0]/C,lane_product_reg_reg[97][1]/D
