index,slack,datapath_delay,logic_levels,startpoint,endpoint
242,-0.713,2.607,1,capture_vector_id_reg[0]/C,final10_mem_reg[2][4][1]/CE
243,-0.713,2.607,1,capture_vector_id_reg[0]/C,final10_mem_reg[2][4][7]/CE
244,-0.713,2.607,1,capture_vector_id_reg[0]/C,final10_mem_reg[2][4][8]/CE
245,-0.713,2.607,1,capture_vector_id_reg[0]/C,final10_mem_reg[2][4][9]/CE
246,-0.713,2.695,7,operand_x_reg_reg[47][15]/C,lane_product_reg_reg[47][38]/D
247,-0.713,2.694,2,sched_src_reg_reg[24][1]_rep__25/C,operand_x_reg_reg[42][4]/D
248,-0.712,2.692,5,vector_buf_a_reg[17][10]/C,operand_x_reg_reg[9][10]/D
249,-0.712,2.695,7,operand_x_reg_reg[37][13]/C,lane_product_reg_reg[37][17]/D
250,-0.712,2.693,7,operand_x_reg_reg[54][13]/C,lane_product_reg_reg[54][18]/D
251,-0.712,2.693,7,operand_x_reg_reg[93][14]/C,lane_product_reg_reg[93][15]/D
252,-0.712,2.693,5,vector_buf_a_reg[10][15]/C,operand_x_reg_reg[17][15]/D
253,-0.712,2.693,1,issue_active_reg_rep__2/C,sched_src_reg_reg[71][1]/D
254,-0.712,2.694,5,vector_buf_a_reg[47][15]/C,operand_x_reg_reg[44][15]/D
255,-0.712,2.694,6,bf_cycle_reg[3]/C,signal_reg_reg[85][20]/D
256,-0.712,2.692,1,operand_valid_reg_reg[12]/C,lane_product_reg_reg[14][21]/D
257,-0.712,2.691,5,vector_buf_b_reg[5][1]/C,operand_x_reg_reg[70][1]/D
258,-0.711,2.693,2,sched_src_reg_reg[44][5]/C,operand_x_reg_reg[70][2]/D
259,-0.711,2.692,1,operand_valid_reg_reg[12]/C,lane_product_reg_reg[14][13]/D
260,-0.711,2.693,6,bf_cycle_reg[3]/C,signal_reg_reg[50][14]/D
261,-0.711,2.692,4,vector_buf_a_reg[28][2]/C,operand_x_reg_reg[76][2]/D
262,-0.711,2.690,4,vector_buf_b_reg[23][9]/C,operand_x_reg_reg[9][9]/D
263,-0.711,2.690,4,lane_product_reg_reg[127][3]/C,red_s0_data_reg[61][22]/D
264,-0.710,2.691,7,operand_x_reg_reg[100][14]/C,lane_product_reg_reg[100][21]/D
265,-0.710,2.693,7,operand_x_reg_reg[41][15]/C,lane_product_reg_reg[41][38]/D
266,-0.710,2.693,6,bf_cycle_reg[3]/C,signal_reg_reg[79][16]/D
267,-0.710,2.692,6,bf_cycle_reg[3]/C,signal_reg_reg[117][19]/D
268,-0.710,2.691,5,sched_src_reg_reg[28][1]_rep__2/C,operand_x_reg_reg[60][1]/D
269,-0.709,2.690,7,operand_x_reg_reg[45][9]/C,lane_product_reg_reg[45][15]/D
270,-0.709,2.690,1,issue_cycle_reg[1]_rep__1/C,sched_coeff_reg_reg[103][2]/D
271,-0.709,2.691,5,bf_cycle_reg[3]/C,signal_reg_reg[71][21]/D
272,-0.709,2.689,6,bf_cycle_reg[1]/C,signal_reg_reg[116][10]/D
273,-0.709,2.691,5,vector_buf_b_reg[52][4]/C,operand_x_reg_reg[14][4]/D
274,-0.709,2.688,4,vector_buf_a_reg[22][0]/C,operand_x_reg_reg[52][0]/D
275,-0.709,2.690,4,vector_buf_b_reg[32][1]/C,operand_x_reg_reg[124][1]/D
276,-0.709,2.691,6,bf_cycle_reg[3]/C,signal_reg_reg[94][19]/D
277,-0.709,2.688,3,sched_src_reg_reg[74][5]_rep/C,operand_x_reg_reg[89][8]/D
278,-0.708,2.690,7,operand_x_reg_reg[76][5]/C,lane_product_reg_reg[76][11]/D
279,-0.708,2.691,7,operand_x_reg_reg[23][14]/C,lane_product_reg_reg[23][20]/D
280,-0.708,2.691,7,operand_coeff_reg_reg[117][4]/C,lane_product_reg_reg[92][21]/D
281,-0.708,2.690,5,vector_buf_a_reg[51][4]/C,operand_x_reg_reg[51][4]/D
282,-0.708,2.689,4,vector_buf_b_reg[33][8]/C,operand_x_reg_reg[59][8]/D
283,-0.708,2.688,3,sched_valid_reg_reg[126]_rep__6/C,operand_x_reg_reg[121][10]/D
284,-0.708,2.689,5,vector_buf_b_reg[4][10]/C,operand_x_reg_reg[14][10]/D
285,-0.708,2.690,6,bf_cycle_reg[3]/C,signal_reg_reg[69][17]/D
286,-0.707,2.690,7,operand_x_reg_reg[79][15]/C,lane_product_reg_reg[79][22]/D
287,-0.707,2.688,1,issue_active_reg_rep__2/C,sched_coeff_reg_reg[44][7]/D
